           I    Z         F         X    G    Y
0  -0.411726  1.0  0.451635  2.693862  2.0  1.0
1   1.003436  0.0  0.744520 -0.147192  2.0  1.0
2  -0.256206  1.0  0.384231  0.567855  2.0  1.0
3   2.538450  0.0  0.397416  0.066595  2.0  1.0
4   0.919643  0.0  0.867199  4.163313  2.0  1.0
5  -0.436854  0.0  0.595500  0.812488  2.0  0.0
6   0.801512  1.0  0.656743  1.834399  2.0  1.0
7   0.939794  1.0  0.343549 -1.575138  2.0  1.0
8  -0.438125  1.0  0.668154  3.262046  2.0  1.0
9   0.678719  2.0  0.640104  0.284377  2.0  1.0
10  1.264639  0.0  0.920623  5.479217  2.0  1.0
11  1.807102  2.0  0.460416  7.009647  2.0  1.0
12  0.560796  2.0  0.305570  7.630494  2.0  1.0
13  1.403669  0.0  0.933826  3.254281  2.0  1.0
14 -0.586194  0.0  0.660212  0.063896  2.0  1.0
15  1.428305  0.0  0.638738 -0.490560  2.0  1.0
16  0.487286  1.0  0.813889  1.703691  2.0  1.0
17  1.033557  0.0  0.747196  4.834552  2.0  1.0
18  2.304606  0.0  0.797922 -0.471272  2.0  0.0
19  2.264817  0.0  0.842600  2.892396  2.0  1.0
