           I    Z         F         X          G    Y
0  -0.408258  1.0  0.862063 -1.188464   3.540830  0.0
1   0.505600  0.0  0.773356  3.286078  -4.240429  1.0
2   0.430360  0.0  0.709567 -1.821736  -1.121177  1.0
3  -0.401476  0.0  0.578794 -0.517967   0.901670  0.0
4   1.002460  0.0  0.734643  2.388087   2.042856  1.0
5  -0.725746  0.0  0.616382 -0.607759  -0.125012  1.0
6  -0.073839  0.0  0.921459  0.022522   0.967747  1.0
7   1.182835  0.0  0.690966  1.780383   0.325689  1.0
8   1.641939  1.0  0.802536  1.279694  -0.616299  1.0
9  -0.078610  1.0  0.676905  6.535676  -9.291297  1.0
10 -0.020182  0.0  0.570566  5.691331   3.130655  1.0
11 -1.061436  0.0  0.615552  3.714735  -3.529889  0.0
12  0.236156  0.0  0.500167  3.939959  -5.978160  1.0
13  1.988234  2.0  0.532058 -3.601230   1.513230  1.0
14  1.640645  0.0  0.351820  7.226530  13.727067  1.0
15 -0.974806  0.0  0.601030  0.382637   0.672968  1.0
16  1.600033  0.0  0.370809  5.085324   4.007743  1.0
17  2.151487  0.0  0.817344  4.778797   1.229256  0.0
18  0.430625  0.0  0.477343 -0.998082   1.066448  1.0
19  1.772764  0.0  0.793123  2.804695  -0.662441  1.0
20  1.299627  0.0  0.468464  5.077713  -4.669730  0.0
21 -0.499488  0.0  0.738227  5.119057   4.983734  1.0
22  0.472068  0.0  0.832007  4.079033   2.063830  0.0
23  0.245860  0.0  0.823037  4.510929   3.394374  0.0
24  0.089640  0.0  0.318128  6.038558  -0.979233  1.0
25  0.184528  0.0  0.713357  2.160308   0.192028  1.0
26  1.480922  0.0  0.522356  0.894187   0.180164  1.0
27  2.252883  0.0  0.545475  2.789093  -1.175529  1.0
28  0.676856  1.0  0.450371 -1.040150   1.038069  1.0
29  0.785582  1.0  0.885897  2.714807  -0.637476  1.0
30 -0.002483  0.0  0.693248  4.154823  -4.068624  1.0
31  0.306985  2.0  0.689332  4.134288  -4.014069  1.0
32  1.380054  2.0  0.550270  2.201930  -0.778597  0.0
33 -1.561436  0.0  0.648234  6.775125   0.552219  1.0
34 -0.600367  0.0  0.656153 -1.297097   2.644383  1.0
35  0.768934  0.0  0.791746 -1.960187   2.249766  1.0
36 -0.449212  0.0  0.637026  0.702083   0.041986  1.0
37 -1.753413  0.0  0.299734 -0.252412   0.357772  1.0
38  1.610022  2.0  0.949071  2.412938  -2.160374  1.0
39 -0.659765  0.0  0.655780  5.682111   7.859009  1.0
40 -0.345525  1.0  0.723282 -2.583529   5.555814  0.0
41  0.298447  0.0  0.678182  3.794394   6.749548  0.0
42  0.376553  0.0  0.838603  7.215740   3.008841  1.0
43  0.672863  0.0  0.856858 -1.667193   2.197757  1.0
44 -1.241295  2.0  0.822475 -3.598341   0.771769  0.0
45  1.145972  0.0  0.713765  4.526010  -0.393237  1.0
46  0.148257  0.0  0.613225  0.190444   0.236482  1.0
47  0.381936  0.0  0.617298 -0.721110  -0.156289  1.0
48  1.166674  0.0  0.801830 -4.734369   9.617154  0.0
49 -0.400672  1.0  0.609688  3.330078 -11.401333  1.0
